NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,27,9,27,0.3222796,1
0,1,2,2,0,1.207554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,27,9,27,0.5134727,1
0,1,2,2,0,2.007554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,27,9,27,0.6719509,1
0,1,2,2,0,3.107553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,27,9,27,0.8968755,1
0,1,2,2,0,4.007552,8.3085,0.3085001,15,3,27,27,3,27,1,2,7,27,9,27,1.077015,1
1,1,2,1,19.30756,5.30755,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,27,9,27,1.330412,1
1,1,2,1,18.40756,6.207554,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,27,9,27,1.510548,1
1,1,2,1,17.50755,7.107557,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,27,9,27,1.688012,1
1,1,2,2,16.50755,8.107561,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,27,9,27,1.899479,1
1,1,2,2,15.50755,9.107565,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,27,9,27,2.081896,1
1,1,2,2,14.70754,9.907568,0.3085001,0.3085001,15,3,27,26.2,3,27.3,1,2,7,27,9,27,2.251652,1
1,1,2,2,13.50754,11.10757,0.3085001,0.3085001,15,3,27,24.99999,3,27.3,1,2,7,27,9,27,2.48361,1
1,1,2,2,12.80754,11.80758,0.3085001,0.3085001,15,3,27,24.29999,3,27.3,1,2,7,27,9,27,2.637718,1
1,1,2,2,11.70753,12.90758,0.3085001,0.3085001,15,3,27,23.19999,3,27.3,1,2,7,27,9,27,2.846397,1
1,1,2,2,11.20753,13.40758,0.3085001,0.3085001,15,3,27,22.69998,3,27.3,1,2,7,27,9,27,2.94221,1
1,1,2,2,11.10753,13.50758,0.3085001,0.3085001,15,3,27,22.59998,3,27.3,1,2,7,27,9,27,2.972463,1
1,1,2,2,11.00753,13.60758,0.3085001,0.3085001,15,3,27,22.49998,3,27.3,1,2,7,27,9,27,2.9848,1
1,1,2,2,11.00753,13.60758,0.3085001,0.3085001,15,3,27,22.49998,3,27.3,1,2,7,27,9,27,2.995145,1
1,1,2,2,10.90753,13.70758,0.3085001,0.3085001,15,3,27,22.39998,3,27.3,1,2,7,27,9,27,3.004697,1
1,1,1,1,10.50753,14.10758,2.307555,8.307555,15,3,27,21.99998,3,27.3,1,2,7,27,9,27,3.082148,1
1,1,1,1,10.40753,14.20758,2.307555,8.307554,15,3,27,21.89998,3,27.3,1,2,7,27,9,27,3.118558,1
1,1,1,1,10.20753,14.40758,2.307555,8.307554,15,3,27,21.69998,3,27.3,1,2,7,27,9,27,3.144551,1
1,1,1,1,10.20753,14.40758,2.307555,8.307554,15,3,27,21.69998,3,27.3,1,2,7,27,9,27,3.155469,1
