NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,0.1115511,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,0.2104711,1.0
0,1.0,2.0,2.0,0.0,0.8075545,0.3085001,0.3085001,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,0.3015609,1.0
0,1.0,2.0,2.0,0.0,1.307554,0.3085001,0.3085001,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,0.4017922,1.0
0,1.0,2.0,2.0,0.0,1.807554,0.3085001,0.3085001,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,0.5013954,1.0
0,1.0,2.0,2.0,0.0,2.307553,0.3085001,0.3085001,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,0.601074,1.0
0,1.0,2.0,2.0,0.0,2.807553,0.3085001,0.3085001,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,0.7003186,1.0
0,1.0,2.0,2.0,0.0,3.307552,0.3085001,0.3085001,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,0.8012288,1.0
0,1.0,2.0,2.0,0.0,3.807552,0.3085001,0.3085001,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,0.901889,1.0
0,1.0,2.0,2.0,0.0,4.307551,8.3085,0.3085001,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,1.001225,1.0
1,1.0,2.0,1.0,19.80756,4.807551,0.3085001,0.3075551,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,1.10131,1.0
1,1.0,2.0,1.0,19.30756,5.30755,0.3085001,0.3075551,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,1.200716,1.0
1,1.0,2.0,1.0,18.80756,5.807552,0.3085001,0.3075551,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,1.301461,1.0
1,1.0,2.0,1.0,18.30756,6.307554,0.3085001,0.3075551,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,1.401258,1.0
1,1.0,2.0,1.0,17.80755,6.807556,0.3085001,0.3075551,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,1.500196,1.0
1,1.0,2.0,1.0,17.30755,7.307558,0.3085001,0.3075551,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,1.601592,1.0
1,1.0,2.0,1.0,16.80755,7.80756,0.3085001,0.3075551,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,1.70179,1.0
1,1.0,2.0,2.0,16.30755,8.307562,0.3085001,0.3085001,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,1.801003,1.0
1,1.0,2.0,2.0,15.80755,8.807564,0.3085001,0.3085001,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,1.901838,1.0
1,1.0,2.0,2.0,15.30754,9.307566,0.3085001,0.3085001,15.0,3.0,3.0,27.0,27.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,2.001701,1.0
1,1.0,2.0,2.0,14.80754,9.807568,0.3085001,0.3085001,15.0,3.0,2.7,27.0,26.5,27.0,1.0,2.0,17.0,17.0,11.0,21.0,2.101209,1.0
1,1.0,2.0,1.0,14.30754,10.30757,0.3085001,8.307554,15.0,3.0,2.7,27.0,26.0,27.0,1.0,2.0,17.0,17.0,11.0,21.0,2.201562,1.0
1,1.0,2.0,2.0,13.80754,10.80757,0.3085001,0.3085001,15.0,3.0,2.7,27.0,25.49999,27.0,1.0,2.0,17.0,17.0,11.0,21.0,2.300122,1.0
1,1.0,2.0,2.0,13.30754,11.30757,0.3085001,0.3085001,15.0,3.0,2.7,27.0,24.99999,27.0,1.0,2.0,17.0,17.0,11.0,21.0,2.400704,1.0
1,1.0,2.0,2.0,12.80754,11.80758,0.3085001,0.3085001,15.0,3.0,2.7,27.0,24.49999,27.0,1.0,2.0,17.0,17.0,11.0,21.0,2.501172,1.0
1,1.0,2.0,2.0,12.30753,12.30758,0.3085001,0.3085001,15.0,3.0,2.7,27.0,23.99999,27.0,1.0,2.0,17.0,17.0,11.0,21.0,2.600574,1.0
1,1.0,2.0,2.0,11.80753,12.80758,0.3085001,0.3085001,15.0,3.0,2.7,27.0,23.49999,27.0,1.0,2.0,17.0,17.0,11.0,21.0,2.700233,1.0
1,1.0,2.0,2.0,11.30753,13.30758,0.3085001,0.3085001,15.0,3.0,2.7,27.0,22.99998,27.0,1.0,2.0,17.0,17.0,11.0,21.0,2.801709,1.0
1,1.0,2.0,2.0,10.80753,13.80758,0.3085001,0.3085001,15.0,3.0,2.7,27.0,22.49998,27.0,1.0,2.0,17.0,17.0,11.0,21.0,2.901764,1.0
1,1.0,1.0,1.0,10.30753,14.30758,2.307555,8.307555,15.0,3.0,2.7,27.0,21.99998,27.0,1.0,2.0,17.0,17.0,11.0,21.0,3.001479,1.0
1,1.0,2.0,2.0,9.807525,14.80759,0.3085001,0.3085001,15.0,3.0,2.7,27.0,21.49998,27.0,1.0,2.0,17.0,17.0,11.0,21.0,3.101721,1.0
1,1.0,2.0,2.0,9.307523,15.30759,0.3085001,0.3085001,15.0,3.0,2.7,27.0,20.99998,27.0,1.0,2.0,17.0,17.0,11.0,21.0,3.200889,1.0
1,1.0,2.0,2.0,8.807521,15.80759,0.3085001,0.3085001,15.0,3.0,2.7,27.0,20.49998,27.0,1.0,2.0,17.0,17.0,11.0,21.0,3.301965,1.0
1,1.0,2.0,2.0,8.307519,16.30759,0.3085001,0.3085001,15.0,3.0,2.7,27.0,19.99997,27.0,1.0,2.0,17.0,17.0,11.0,21.0,3.400903,1.0
1,1.0,2.0,2.0,7.807517,16.80759,0.3085001,0.3085001,15.0,3.0,2.7,27.0,19.49997,27.0,1.0,2.0,17.0,17.0,11.0,21.0,3.502391,1.0
1,1.0,2.0,2.0,7.307515,17.30759,0.3085001,0.3085001,15.0,3.0,2.7,27.0,18.99997,27.0,1.0,2.0,17.0,17.0,11.0,21.0,3.601146,1.0
1,1.0,2.0,2.0,6.807513,17.8076,0.3085001,0.3085001,15.0,3.0,2.7,27.0,18.49997,27.0,1.0,2.0,17.0,17.0,11.0,21.0,3.700199,1.0
1,1.0,2.0,2.0,6.307511,18.3076,0.3085001,0.3085001,15.0,3.0,2.7,27.0,17.99997,27.0,1.0,2.0,17.0,17.0,11.0,21.0,3.800485,1.0
1,1.0,2.0,2.0,5.807509,18.8076,0.3085001,0.3085001,15.0,3.0,2.7,27.0,17.49996,27.0,1.0,2.0,17.0,17.0,11.0,21.0,3.900044,1.0
5,1.0,2.0,2.0,3.812555,19.3076,0.3085001,0.3085001,15.0,3.0,2.7,27.0,16.99996,27.0,1.0,2.0,17.0,17.0,11.0,21.0,4.000443,1.0
5,1.0,2.0,2.0,3.312553,19.80761,0.3085001,0.3085001,15.0,3.0,2.7,27.0,16.49996,27.0,1.0,2.0,17.0,17.0,11.0,21.0,4.101571,1.0
5,0.0,2.0,2.0,2.812551,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,15.99996,27.0,1.0,2.0,17.0,17.0,11.0,21.0,4.200254,1.0
1,0.0,2.0,2.0,3.807502,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,15.49996,27.0,1.0,2.0,17.0,17.0,11.0,21.0,4.300645,1.0
1,0.0,2.0,2.0,3.3075,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,14.99995,27.0,1.0,2.0,17.0,17.0,11.0,21.0,4.402539,1.0
1,0.0,2.0,2.0,2.807498,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,14.49995,27.0,1.0,2.0,17.0,17.0,11.0,21.0,4.500628,1.0
1,0.0,2.0,2.0,2.307496,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,13.99995,27.0,1.0,2.0,17.0,17.0,11.0,21.0,4.600258,1.0
1,0.0,2.0,2.0,2.107495,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,13.49995,27.0,1.0,2.0,17.0,17.0,11.0,21.0,4.700304,0.0
1,0.0,2.0,2.0,2.107495,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,12.99995,27.0,1.0,2.0,17.0,17.0,11.0,21.0,4.802194,0.0
1,0.0,2.0,2.0,2.107495,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,12.49994,27.0,1.0,2.0,17.0,17.0,11.0,21.0,4.900076,0.0
6,0.0,2.0,2.0,0.4576902,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,11.99994,27.0,1.0,2.0,17.0,17.0,11.0,21.0,5.000639,0.0
6,0.0,2.0,2.0,0.4576902,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,11.49994,27.0,1.0,2.0,17.0,17.0,11.0,21.0,5.101637,0.0
6,0.0,2.0,2.0,0.4576902,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,10.99994,27.0,0.0,2.0,17.0,17.0,11.0,21.0,5.203675,0.0
6,0.0,2.0,2.0,0.4576902,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,10.49994,27.0,1.0,2.0,17.0,17.0,11.0,21.0,5.302016,0.0
6,0.0,2.0,2.0,0.4576902,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,9.999935,27.0,1.0,2.0,17.0,17.0,11.0,21.0,5.400812,0.0
1,0.0,2.0,2.0,2.107495,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,9.499933,27.0,1.0,2.0,17.0,17.0,11.0,21.0,5.501081,0.0
1,0.0,2.0,2.0,1.707494,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,8.999931,27.0,1.0,2.0,17.0,17.0,11.0,21.0,5.600676,1.0
1,0.0,2.0,2.0,1.207492,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,8.499929,27.0,1.0,2.0,17.0,17.0,11.0,21.0,5.700284,1.0
1,0.0,2.0,2.0,0.7074898,0.0,0.3085001,0.3085001,15.0,3.0,2.7,27.0,7.999928,27.0,1.0,2.0,17.0,17.0,11.0,21.0,5.802334,1.0
1,0.0,1.0,6.0,0.4074887,0.0,16.30756,2.157821,15.0,3.0,2.7,27.0,7.499928,27.0,1.0,2.0,17.0,17.0,11.0,21.0,5.90128,4.0
1,0.0,1.0,6.0,0.4074887,0.0,16.60756,2.35782,15.0,3.0,2.7,27.0,6.999929,27.0,1.0,2.0,17.0,17.0,11.0,21.0,6.000046,4.0
1,2.0,1.0,6.0,0.4074887,0.2085664,17.10756,1.857818,15.0,3.0,100.0,100.0,6.999929,26.5,1.0,2.0,17.0,17.0,11.0,21.0,6.101358,4.0
1,2.0,1.0,6.0,0.4074887,0.2085664,17.60756,1.357816,15.0,3.0,100.0,100.0,6.999929,26.0,1.0,2.0,17.0,17.0,11.0,21.0,6.200738,4.0
1,2.0,1.0,0.0,0.4074887,0.2085664,17.80756,0.0,15.0,3.0,100.0,100.0,6.999929,25.49999,0.0,2.0,17.0,17.0,11.0,21.0,6.30011,0.0
1,2.0,1.0,0.0,0.4074887,0.2085664,17.80756,0.0,15.0,3.0,100.0,100.0,6.999929,24.99999,0.0,2.0,17.0,17.0,11.0,21.0,6.401723,0.0
1,2.0,1.0,0.0,0.4074887,0.2085664,17.80756,0.0,15.0,3.0,100.0,100.0,6.999929,24.49999,0.0,2.0,17.0,17.0,11.0,21.0,6.501084,0.0
1,2.0,1.0,0.0,0.4074887,0.2085664,17.80756,0.0,15.0,3.0,100.0,100.0,6.999929,23.99999,0.0,2.0,17.0,17.0,11.0,21.0,6.600519,0.0
1,2.0,1.0,0.0,0.4074887,0.2085664,17.80756,0.0,15.0,3.0,100.0,100.0,6.999929,23.49999,0.0,2.0,17.0,17.0,11.0,21.0,6.700248,0.0
1,2.0,1.0,0.0,0.4074887,0.2085664,17.80756,0.0,15.0,3.0,100.0,100.0,6.999929,22.99998,0.0,2.0,17.0,17.0,11.0,21.0,6.802025,0.0
1,2.0,1.0,1.0,0.4074887,0.2085664,18.10756,6.507548,15.0,3.0,100.0,100.0,6.999929,22.49998,1.0,2.0,17.0,17.0,11.0,21.0,6.90181,4.0
1,2.0,1.0,1.0,0.4074887,0.2085664,18.60756,6.007546,15.0,3.0,100.0,100.0,6.999929,21.99998,1.0,2.0,17.0,17.0,11.0,21.0,7.000331,4.0
1,2.0,1.0,1.0,0.4074887,0.2085664,19.10757,5.507544,15.0,3.0,100.0,100.0,6.999929,21.49998,1.0,2.0,17.0,17.0,11.0,21.0,7.100784,4.0
1,2.0,1.0,1.0,0.4074887,0.2085664,19.60757,5.007544,15.0,3.0,100.0,100.0,6.999929,20.99998,1.0,2.0,17.0,17.0,11.0,21.0,7.200967,4.0
1,2.0,1.0,1.0,0.4074887,0.2085664,19.60757,5.007544,15.0,3.0,100.0,100.0,6.999929,20.49998,1.0,2.0,17.0,17.0,11.0,21.0,7.300331,4.0
1,2.0,1.0,1.0,0.6074894,0.008565661,19.60757,5.007544,15.0,3.0,100.0,100.0,6.999929,19.99997,1.0,2.0,17.0,17.0,11.0,21.0,7.400607,2.0
1,2.0,1.0,1.0,0.6074894,0.008565661,19.60757,5.007544,15.0,3.0,100.0,100.0,6.999929,19.49997,1.0,2.0,17.0,17.0,11.0,21.0,7.500062,2.0
1,2.0,1.0,1.0,0.6074894,0.008565661,19.60757,5.007544,15.0,3.0,100.0,100.0,6.999929,18.99997,1.0,2.0,17.0,17.0,11.0,21.0,7.600441,4.0
1,6.0,0.0,1.0,0.6074895,6.857848,0.0,4.507545,15.0,3.0,100.0,100.0,6.999929,18.49997,1.0,2.0,17.0,17.0,11.0,21.0,7.701265,4.0
1,6.0,2.0,2.0,0.7074898,7.25785,0.1085103,0.5084899,15.0,3.0,100.0,100.0,6.999929,17.99997,1.0,2.0,17.0,17.0,11.0,21.0,7.800775,2.0
1,6.0,2.0,2.0,1.207492,7.25785,0.1085103,0.5084899,15.0,3.0,100.0,100.0,6.999929,17.49996,1.0,2.0,17.0,17.0,11.0,21.0,7.901875,2.0
1,6.0,2.0,2.0,1.707494,7.257849,0.1085103,0.5084899,15.0,3.0,100.0,100.0,6.999929,16.99996,1.0,2.0,17.0,17.0,11.0,21.0,8.001771,2.0
1,6.0,2.0,2.0,2.207496,6.757848,0.1085103,0.5084899,15.0,3.0,100.0,100.0,6.499929,16.99996,1.0,2.0,17.0,17.0,11.0,21.0,8.101273,2.0
1,0.0,2.0,2.0,2.707498,0.0,0.1085103,0.5084899,15.0,3.0,100.0,100.0,5.99993,16.99996,0.0,2.0,17.0,17.0,11.0,21.0,8.200821,2.0
1,0.0,2.0,2.0,3.207499,0.0,0.1085103,0.5084899,15.0,3.0,100.0,100.0,5.49993,16.99996,0.0,2.0,17.0,17.0,11.0,21.0,8.301061,2.0
1,0.0,2.0,2.0,3.707502,0.0,0.1085102,0.5084899,15.0,3.0,100.0,100.0,4.999931,16.99996,0.0,2.0,17.0,17.0,11.0,21.0,8.400163,2.0
1,0.0,2.0,2.0,4.207502,0.0,0.1085103,0.5084899,15.0,3.0,100.0,100.0,4.499931,16.99996,0.0,2.0,17.0,17.0,11.0,21.0,8.501307,2.0
1,0.0,2.0,2.0,4.707505,0.0,0.1085103,0.5084899,15.0,3.0,100.0,100.0,3.999932,16.99996,0.0,2.0,17.0,17.0,11.0,21.0,8.600441,2.0
1,0.0,2.0,2.0,5.207507,0.0,0.1085103,0.5084899,15.0,3.0,100.0,100.0,3.499932,16.99996,0.0,2.0,17.0,17.0,11.0,21.0,8.701939,2.0
1,0.0,2.0,2.0,5.707509,0.0,0.1085103,0.5084899,15.0,3.0,100.0,100.0,2.999933,16.99996,0.0,2.0,17.0,17.0,11.0,21.0,8.801167,2.0
1,0.0,2.0,2.0,6.20751,0.0,0.1085103,0.5084899,15.0,3.0,100.0,100.0,2.699933,16.99996,0.0,2.0,17.0,17.0,11.0,21.0,8.900715,2.0
1,1.0,2.0,2.0,6.707512,17.9076,0.1085102,0.5084899,15.0,3.0,100.0,100.0,2.699933,16.99996,1.0,2.0,17.0,17.0,11.0,21.0,9.001432,2.0
1,1.0,2.0,2.0,7.207514,17.4076,0.1085103,0.5084899,15.0,3.0,100.0,100.0,2.699933,16.99996,1.0,2.0,17.0,17.0,11.0,21.0,9.101759,2.0
1,1.0,2.0,2.0,7.207514,17.4076,0.1085103,0.5084899,15.0,3.0,100.0,100.0,2.699933,16.99996,1.0,2.0,17.0,17.0,11.0,21.0,9.200274,0.0
1,1.0,2.0,2.0,7.207514,17.4076,0.1085103,0.5084899,15.0,3.0,100.0,100.0,2.699933,16.99996,1.0,2.0,17.0,17.0,11.0,21.0,9.301729,0.0
1,0.0,2.0,2.0,7.207514,0.0,0.1085103,0.5084899,15.0,3.0,100.0,100.0,2.699933,16.99996,0.0,2.0,17.0,17.0,11.0,21.0,9.400969,0.0
1,0.0,2.0,2.0,7.207514,0.0,0.1085103,0.5084899,15.0,3.0,100.0,100.0,2.699933,16.99996,0.0,2.0,17.0,17.0,11.0,21.0,9.500387,0.0
