NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,0.203328,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,0.2512731,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,0.3032443,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,0.4043117,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,0.5023111,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,0.6369625,0.0
0,1.0,2.0,1.0,0.0,0.407555,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,0.7190568,1.0
0,1.0,2.0,2.0,0.0,0.9075544,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,0.8129547,1.0
0,1.0,2.0,2.0,0.0,1.407554,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,0.9109675,1.0
0,1.0,2.0,2.0,0.0,1.907554,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,1.012498,1.0
0,1.0,2.0,2.0,0.0,2.407553,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,1.116521,1.0
0,1.0,2.0,2.0,0.0,2.907553,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,1.200562,1.0
0,1.0,2.0,2.0,0.0,3.407552,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,1.311844,1.0
0,1.0,2.0,2.0,0.0,3.907552,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,1.406134,1.0
0,1.0,2.0,2.0,0.0,4.407551,8.3085,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,1.504933,1.0
1,1.0,2.0,1.0,19.60756,5.00755,0.3085001,0.3075551,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,1.626137,1.0
1,1.0,2.0,1.0,19.20756,5.40755,0.3085001,0.3075551,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,1.70112,1.0
1,1.0,2.0,1.0,18.70756,5.907552,0.3085001,0.3075551,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,1.813277,1.0
1,1.0,2.0,1.0,18.20756,6.407555,0.3085001,0.3075551,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,1.908666,1.0
1,1.0,2.0,1.0,17.70755,6.907556,0.3085001,0.3075551,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,2.005666,1.0
1,1.0,2.0,1.0,17.20755,7.407558,0.3085001,0.3075551,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,2.105852,1.0
1,1.0,2.0,1.0,16.70755,7.907561,0.3085001,0.3075551,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,2.202144,1.0
1,1.0,2.0,2.0,16.20755,8.407562,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,2.304862,1.0
1,1.0,2.0,2.0,15.70755,8.907564,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,2.407263,1.0
1,1.0,2.0,2.0,15.20754,9.407566,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,2.50001,1.0
1,1.0,2.0,1.0,14.60754,10.00757,0.3085001,8.307554,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,2.620908,1.0
1,1.0,2.0,1.0,14.20754,10.40757,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,2.700838,1.0
1,1.0,2.0,2.0,13.70754,10.90757,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,2.81192,1.0
1,1.0,2.0,2.0,13.20754,11.40757,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,2.903008,1.0
1,1.0,2.0,2.0,12.70753,11.90758,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,3.003909,1.0
1,1.0,2.0,2.0,12.20753,12.40758,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,15.0,15.0,23.0,23.0,3.118988,1.0
